ID_Article,communityId,ID_RelatedVenue,title,year,abstract
673218,21220,8494,Development of the hydrogen gas sensor for the nondestructive test evaluation (NDE) application,1999,"In this paper, a sensor material with Fe/Zr multilayer thin film, in which the change in the magnetization and strain with hydrogenation is maximized, was developed. Compositionally modulated Fe/Zr multilayers with a Fe/sub 80/Zr/sub 20/ composition and modulation wavelengths 3-50 angstroms were deposited by sequentially sputtering (RF diode) elemental Fe and Zr targets. The films were electrolytically hydrogenated to select the optimum Fe/Zr multilayers that show the maximum increases in the magnetization and strain with hydrogenation. The changes in the magnetic properties of the thin films after hydrogenation were measured using a hysteresis graph and the strains induced in the films by hydrogenation were measured using a laser heterodyne interferometer. The optimum sensor material selected was incorporated in a fiber-optic hydrogen sensor by depositing it directly on the sensing arm of a fiber-optic Michelson interferometer. The developed sensor is expected to be useful for detecting easily and accurately the subsurface corrosion in structural systems."
1370120,21220,8494,Teaching electronic circuits online: Lessons from MITx's 6.002x on edX,2013,"6.002x is the first electronic circuits course to be taught online to tens of thousands of students. The goal of the 6.002x experiment was to explore ways to use computer assisted instruction to surpass the quality of traditional residential teaching. By providing superior on-line content delivery and assessment, we hope to both be able to educate people without access to education, and to improve residential education by allowing professors to focus on higher value tasks. We improved on the classroom experience in several ways. Students can actively monitor their current levels of mastery and to self-pace in response. They can identify and break through misconceptions before moving on to more advanced material. The massive scale of the classroom has participants on-line 24/7, allowing students to ask questions and receive peer answers in almost real-time. The platform allows for substantial data collection on testing, allowing us to incrementally and scientifically improve courses. Finally, the amount of effort that can be invested into a course is much greater when it can be amortized across tens of thousands. In order to achieve this, we had to overcome a number of challenges: finding mechanisms to allow automated grading, overcoming the lack of in-person interactions, and overcoming the lack of student access to laboratory equipment. The course was shown successful in both residential and mass-scale settings."
861397,21220,11470,Developments on the Boston 256-channel retinal implant,2013,"A hermetic neurostimulator is being developed to restore functional sight to the blind. The latest developments are presented on the Boston 256-channel retinal prosthesis. The device includes a hermetic package made of titanium and alumina, containing an integrated circuit chip with 256 independently addressable current drivers. The prosthesis attaches to the outside scleral wall of the eye and electrically drives a microfabricated thin-film polyimide array of sputtered iridium oxide electrodes. This array is implanted in the subretinal space via a flap in the sclera. The implanted device receives power and stimulation data wirelessly via inductively coupled coils. A circuit to prevent residual electrode voltage and improve safety is being designed for incorporation into future devices. The components of our prosthesis have been tested, and we plan to implant the 256-channel device in animals this year."
1390088,21220,8494,Frequency scaling of power reclamation networks in outphasing PA architectures,2012,"Outphasing power amplifiers (PAs) with power reclamation networks are an attractive solution for maintaining a constant PA load during outphasing while minimizing energy lost. Power reclamation networks have only been demonstrated at frequencies below 2 GHz. In this work, we examine power reclamation networks for outphasing PA topologies and investigate how their efficiency scales with frequency. Our results show that at mm-wave frequencies, power reclamation network efficiency is dominated by the current in the resonant portion of the rectifier and that this loss can increase disproportionately with frequency, thus placing a key limitation on the efficiency of power reclamation networks at mm-wave frequencies."
527754,21220,8494,Modelling of multidimensional (MD) heat diffusion via the Kirchhoff paradigm,2015,"Motivated by gas dynamics, we consider the heat diffusion equation which in its standard form allows propagation at an infinite speed, and is thus unphysical. Driven by phenomenological considerations rooted in analogies with RC-transmission lines, we introduce a modified 3D heat equation for an isotropic medium that admits MD internally passive circuit realization using resistances, nonlinear inductances, and capacitances of the type previously introduced elsewhere, which via standard techniques can be transformed into well-known Wave Digital networks in the discrete MD domain."
1107883,21220,8494,Shortcuts in circuits and systems education with a case study of the Thévenin/Helmholtz and Norton/Mayer equivalents,2012,"Basic Circuits and Systems CAS education is crucial in the first phase of any electrical engineering curriculum, but increasingly under threat. This situation is in many ways similar to that of mathematics education in engineering. Creative shortcuts for teaching mathematics have recently been advocated in the “streetfighting mathematics approach”. Similar innovative, alternative ways can make the basic CAS education more effective. This special session aims to provide a forum where colleagues across the globe come together to share best practices, such as jewels or pedagogical shortcuts, and where they propose modern circuits, signals, and systems curricula for various target student audiences and discuss other related issues. Here we survey the contributions and discuss a case study, namely, the Thevenin/Helmholtz and Norton/Mayer equivalents."
2863758,21220,8494,Two-pass beamforming for ultrasound imaging,2016,"We propose a simple two-pass beamforming scheme that combines adaptive and nonadaptive methods to achieve high-quality ultrasound images at low computational cost. During the first pass, our beamformer processes buffered input vectors using an inexpensive nonadaptive method and computes the corresponding envelope. Based on that envelope information, selected outputs may be recomputed during the second pass (to improve beamforming performance) using an expensive adaptive method. The purpose of the first pass is to identify which nonadaptively-beamformed outputs can be spared from a heavy computational load of adaptive beamforming taking place during the second pass. In t his work, our beamforming scheme combines the nonadaptive delay-and-sum (DAS) beamformer and the adaptive Generalized Sidelobe Canceller (GSC), and it selects outputs for recomputation based on a threshold window. We have evaluated our scheme using simulated ultrasound images of a 12-point phantom and a point-scatterer-cyst phantom, achieving substantial threshold-dependent computational savings while maintaining acceptable image resolution and contrast, compared to pure GSC beamforming."
2866201,21220,8494,Infrastructural health monitoring using self-powered Internet-of-Things,2016,"By incorporating sensing capabilities in passive radio-frequency identification (RFID) tagging technology it is possible to extend the coverage of Internet-of-Things (IoT) to monitor the health of different segments of a large civil infrastructure like pavement highway, buildings or a multi-span bridge. The challenge in this regard is to deliver energy to the RFID sensors that are embedded inside the structures in a manner that they can continuously sense for occurrence of any rare structural events. This paper summarizes some of the progress that has been made to-date in the area of self-powered R FID sensor networks within the concept of IoT. The core sensor uses a self-powering method which directly harvests computational and storage energy from slight strain-variations in the structure. The event signatures can then be stored on a non-volatile memory and remotely retrieved at a later period of time. In this “sense now retrieve later” paradigm, self-powering is only used for continuous sensing and data-logging of essential statistics; whereas, data retrieval and reconfiguration is achieved using a low-cost commercial RFID system. Another advantage of using a commercial RFID system for data retrieval is that the related standards and FCC compliance are well established and the technology can be easily integrated with other IoT network infrastructure."
2897211,21220,30,A wide range and high sensitivity four-channel compact electrochemical biosensor for neurotransmitter detection on a microfluidic platform,2016,"We present a four-channel, high-sensitivity and linearity electrochemical biosensor for neurotransmitter (NT) detection and measurement. Using a multi-channel microfluidic platform makes this biosensor capable of detecting NT-related currents going from nanoamperes to milliamperes, with a sensitivity of the order of picoamperes. Moreover, by using a fully differential potentiostat architecture, the biosensor offers a high common-mode rejection ratio (90 dB), making it appropriate for low-noise and high-sensitive applications. The system was implemented on a 15 mm × 15 mm PCB with direct interface to the microfluidic chambers. It was calibrated with a 5 mM ferrocyanide solution and successfully tested with dopamine at three concentrations. The system shows a minimum sensistivity of 100 pA and consumes 60 mW."
2905481,21220,8494,"A 48 μW, 8.88 × 10−3 W/W batteryless energy harvesting BCC identification system",2016,"A BCC identification system which is fully compatible with previous radio frequency identification (RFID) systems is proposed in order to reduce power consumption, avoid security breaches, and enhance convenience via an intuitive interface. The BCC identification system is composed of a reader and a tag. The reader sends an RF wave to the tag, receives an identification code, and analyzes the received code. The tag harvests energy from the RF wave transmitted by the reader, and transfers the identification code to the reader. The energy harvester in the BCC identification tag increases power conversion efficiency (PCE) by up to 12% by adaptively changing the number of rectifier stages depending on input power. In addition, a transformer reusing an on-off keying (OOK) BCC transmitter is proposed to inform the reader of completion of energy harvesting of the tag by changing load impedance. As a result, a 48 μW, 8.88×10−3 W/W Figure-of-Merit (FoM) BCC identification system is implemented. This system can generate sufficient power in the tag with lower transmitted power from the reader compared to previous RFID systems."
